enterprise,organization,action,actor,user,actorLocation,actorIp,actorLogin,createdAt,operationType,userLogin
CRESCO Ltd.,CloudDev001,repo.destroy,KoheiAoshima,,Japan,61.125.128.194,KoheiAoshima,2022-05-25T12:51:08.609Z,REMOVE,
CRESCO Ltd.,CloudDev001,repo.create,KoheiAoshima,,Japan,61.125.128.194,KoheiAoshima,2022-05-25T12:49:06.747Z,CREATE,
CRESCO Ltd.,CloudDev001,repo.change_merge_setting,KoheiAoshima,,Japan,61.125.128.194,KoheiAoshima,2022-05-25T12:49:06.456Z,MODIFY,
CRESCO Ltd.,CloudDev001,repo.change_merge_setting,KoheiAoshima,,Japan,61.125.128.194,KoheiAoshima,2022-05-25T12:49:06.431Z,MODIFY,
CRESCO Ltd.,CloudDev001,org.add_member,GitTool-LuanND,GitTool-LuanND,Vietnam,,GitTool-LuanND,2022-05-24T01:52:00.110Z,CREATE,GitTool-LuanND
CRESCO Ltd.,CloudDev001,team.add_member,YuusukeAoyama,,Japan,,YuusukeAoyama,2022-05-20T08:04:28.217Z,CREATE,TogoYokoyama
CRESCO Ltd.,CloudDev001,team.add_member,YuusukeAoyama,,Japan,,YuusukeAoyama,2022-05-20T08:02:56.815Z,CREATE,NorioUchiyama
CRESCO Ltd.,CloudDev001,team.add_member,YuusukeAoyama,,Japan,,YuusukeAoyama,2022-05-20T08:02:32.268Z,CREATE,JunyaNagaike
CRESCO Ltd.,CloudDev001,team.add_member,YuusukeAoyama,,Japan,,YuusukeAoyama,2022-05-20T07:55:12.413Z,CREATE,SeiichiroHorikoshi
CRESCO Ltd.,CloudDev001,org.add_member,KoheiAoshima,,,,KoheiAoshima,2022-05-20T07:13:18.483Z,CREATE,SeiichiroHorikoshi
CRESCO Ltd.,CloudDev001,org.add_member,KoheiAoshima,,,,KoheiAoshima,2022-05-20T07:09:28.877Z,CREATE,NorioUchiyama
CRESCO Ltd.,CloudDev001,org.add_member,KoheiAoshima,,,,KoheiAoshima,2022-05-20T02:15:05.921Z,CREATE,JunyaNagaike
CRESCO Ltd.,CloudDev001,org.add_member,KoheiAoshima,,,,KoheiAoshima,2022-05-20T01:25:40.224Z,CREATE,Togo-Yokoyama
CRESCO Ltd.,CloudDev001,team.add_member,YuusukeAoyama,,Japan,,YuusukeAoyama,2022-05-20T01:16:17.939Z,CREATE,YusukeSeshimo
CRESCO Ltd.,CloudDev001,team.add_member,YuusukeAoyama,,Japan,,YuusukeAoyama,2022-05-20T01:16:01.945Z,CREATE,r-kawahata
CRESCO Ltd.,CloudDev001,team.add_member,YuusukeAoyama,,Japan,,YuusukeAoyama,2022-05-20T01:15:49.222Z,CREATE,YoshihiroNagasawa
CRESCO Ltd.,CloudDev001,team.add_member,YuusukeAoyama,YoshihiroSaito,Japan,,YuusukeAoyama,2022-05-20T01:15:28.994Z,CREATE,yo-saito-cre
CRESCO Ltd.,CloudDev001,team.add_member,YuusukeAoyama,,Japan,,YuusukeAoyama,2022-05-20T01:15:08.864Z,CREATE,NaoyaOgura210602
