enterprise,organization,action,actor,user,actorLocation,actorIp,actorLogin,createdAt,operationType,userLogin
CRESCO Ltd.,CrGitHubOperation,org.add_member,KoheiAoshima,,,,KoheiAoshima,2022-06-01T02:32:17.145Z,CREATE,GitTool-PhuongTD
CRESCO Ltd.,CrGitHubOperation,org.invite_member,KoheiAoshima,,Japan,61.125.128.194,KoheiAoshima,2022-06-01T02:30:53.102Z,CREATE,
CRESCO Ltd.,CrGitHubOperation,org.add_member,KoheiAoshima,,,,KoheiAoshima,2022-05-31T11:37:54.104Z,CREATE,YuusukeAoyama
CRESCO Ltd.,CrGitHubOperation,org.invite_member,KoheiAoshima,,Japan,90.149.99.173,KoheiAoshima,2022-05-31T11:37:16.311Z,CREATE,
CRESCO Ltd.,CrGitHubOperation,org.invite_member,KoheiAoshima,,Japan,61.125.128.194,KoheiAoshima,2022-05-31T10:49:14.570Z,CREATE,
CRESCO Ltd.,CrGitHubOperation,repo.create,GitTool-LuanND,,Vietnam,,GitTool-LuanND,2022-05-31T10:29:50.048Z,CREATE,
CRESCO Ltd.,CrGitHubOperation,repo.add_member,,GitTool-LuanND,Vietnam,,GitHubOperationTools,2022-05-31T10:29:49.724Z,CREATE,GitTool-LuanND
CRESCO Ltd.,CrGitHubOperation,repo.change_merge_setting,GitTool-LuanND,,Vietnam,,GitTool-LuanND,2022-05-31T10:29:49.651Z,MODIFY,
CRESCO Ltd.,CrGitHubOperation,org.add_member,KoheiAoshima,GitTool-LuanND,,,KoheiAoshima,2022-05-31T10:28:40.714Z,CREATE,GitTool-LuanND
CRESCO Ltd.,CrGitHubOperation,team.add_member,KoheiAoshima,,Japan,61.125.128.194,KoheiAoshima,2022-05-31T10:16:24.540Z,CREATE,KoheiAoshima
CRESCO Ltd.,CrGitHubOperation,org.invite_member,KoheiAoshima,GitTool-LuanND,Japan,61.125.128.194,KoheiAoshima,2022-05-31T10:13:43.110Z,CREATE,GitTool-LuanND
CRESCO Ltd.,CrGitHubOperation,org.create,KoheiAoshima,,Japan,61.125.128.194,KoheiAoshima,2022-05-31T10:07:02.895Z,CREATE,
CRESCO Ltd.,CrGitHubOperation,org.enable_two_factor_requirement,,,Japan,,GitHubOperationTools,2022-05-31T10:07:02.810Z,MODIFY,
CRESCO Ltd.,CrGitHubOperation,org.add_member,KoheiAoshima,,Japan,61.125.128.194,KoheiAoshima,2022-05-31T10:07:02.775Z,CREATE,KoheiAoshima
CRESCO Ltd.,CloudDev001,repo.destroy,KoheiAoshima,,Japan,61.125.128.194,KoheiAoshima,2022-05-25T12:51:08.609Z,REMOVE,
CRESCO Ltd.,CloudDev001,repo.create,KoheiAoshima,,Japan,61.125.128.194,KoheiAoshima,2022-05-25T12:49:06.747Z,CREATE,
CRESCO Ltd.,CloudDev001,repo.change_merge_setting,KoheiAoshima,,Japan,61.125.128.194,KoheiAoshima,2022-05-25T12:49:06.456Z,MODIFY,
CRESCO Ltd.,CloudDev001,repo.change_merge_setting,KoheiAoshima,,Japan,61.125.128.194,KoheiAoshima,2022-05-25T12:49:06.431Z,MODIFY,
